# From Dinnbier, Kroupa, Anderson (2022) https://ui.adsabs.harvard.edu/abs/2022A%26A...660A..61D/abstract
logSFR,Gamma
# fraction for stars < 10 Myr
-4.006802285207627, -0.9548517368513105
-2.0098466888214275, -0.7424396444385948
-0.01246162025307651, -0.6657944456085603
-4.008298510874478, -0.48185739791809856
-1.997149551565235, -0.25632215955237897
-0.013985553802646322, -0.18404095225065922
