[Z],massweight_ratio_0p2to0p5div0p2to1p0
-0.10652591170825287,0.494186046511628
-0.08925143953934711,0.5046511627906978
-0.0719769673704409,0.516279069767442
-0.057581573896352545,0.5383720930232558
-0.03454894433781153,0.5465116279069768
-0.014395393474087914,0.5534883720930234
4.440892098500626e-16,0.5627906976744187
0.020153550863723613,0.5779069767441861
0.028790786948176716,0.5860465116279071
0.051823416506717734,0.5953488372093024
0.05758157389635343,0.6058139534883722
0.06333973128598913,0.6186046511627908
0.07197696737044179,0.6302325581395349
0.0921305182341654,0.636046511627907
0.10652591170825376,0.6418604651162791
0.12380038387715997,0.6616279069767443
0.1497120921305184,0.6627906976744187
0.20729366602687138,0.6744186046511629
